iteration 1, path travelled 17, percent explored 0.057055(+2.061523)
iteration 2, path travelled 34, percent explored 0.065963(+0.890815)
iteration 3, path travelled 61, percent explored 0.073983(+0.802002)
iteration 4, path travelled 82, percent explored 0.088543(+1.455984)
iteration 5, path travelled 94, percent explored 0.088543(+0.000000)
iteration 6, path travelled 127, percent explored 0.107328(+1.878515)
iteration 7, path travelled 146, percent explored 0.126463(+1.913502)
iteration 8, path travelled 165, percent explored 0.145921(+1.945798)
iteration 9, path travelled 183, percent explored 0.150604(+0.468283)
iteration 10, path travelled 239, percent explored 0.182711(+3.210701)
iteration 11, path travelled 262, percent explored 0.206018(+2.330651)
iteration 12, path travelled 289, percent explored 0.217509(+1.149178)
iteration 13, path travelled 316, percent explored 0.248486(+3.097667)
iteration 14, path travelled 380, percent explored 0.260193(+1.170708)
iteration 15, path travelled 398, percent explored 0.266464(+0.627069)
iteration 16, path travelled 420, percent explored 0.276018(+0.955405)
iteration 17, path travelled 531, percent explored 0.292973(+1.695508)
iteration 18, path travelled 555, percent explored 0.295691(+0.271820)
iteration 19, path travelled 622, percent explored 0.328363(+3.267217)
iteration 20, path travelled 642, percent explored 0.349140(+2.077670)
iteration 21, path travelled 658, percent explored 0.350001(+0.086121)
iteration 22, path travelled 685, percent explored 0.384773(+3.477138)
iteration 23, path travelled 707, percent explored 0.401109(+1.633609)
iteration 24, path travelled 719, percent explored 0.406949(+0.584008)
iteration 25, path travelled 797, percent explored 0.427322(+2.037301)
iteration 26, path travelled 817, percent explored 0.451059(+2.373712)
iteration 27, path travelled 825, percent explored 0.452781(+0.172242)
iteration 28, path travelled 848, percent explored 0.454262(+0.148021)
iteration 29, path travelled 873, percent explored 0.474285(+2.002315)
iteration 30, path travelled 887, percent explored 0.480609(+0.632451)
iteration 31, path travelled 907, percent explored 0.486665(+0.605539)
iteration 32, path travelled 1033, percent explored 0.504831(+1.816616)
iteration 33, path travelled 1047, percent explored 0.505423(+0.059208)
iteration 34, path travelled 1075, percent explored 0.522243(+1.682052)
iteration 35, path travelled 1102, percent explored 0.540840(+1.859677)
iteration 36, path travelled 1114, percent explored 0.546492(+0.565169)
iteration 37, path travelled 1127, percent explored 0.549964(+0.347175)
iteration 38, path travelled 1153, percent explored 0.565815(+1.585166)
iteration 39, path travelled 1173, percent explored 0.606669(+4.085367)
iteration 40, path travelled 1192, percent explored 0.627903(+2.123422)
iteration 41, path travelled 1211, percent explored 0.639610(+1.170708)
iteration 42, path travelled 1255, percent explored 0.667115(+2.750491)
iteration 43, path travelled 1278, percent explored 0.687004(+1.988858)
iteration 44, path travelled 1301, percent explored 0.687058(+0.005383)
iteration 45, path travelled 1350, percent explored 0.694728(+0.767016)
iteration 46, path travelled 1448, percent explored 0.700057(+0.532874)
iteration 47, path travelled 1486, percent explored 0.729149(+2.909277)
iteration 48, path travelled 1508, percent explored 0.730495(+0.134564)
iteration 49, path travelled 1556, percent explored 0.735931(+0.543639)
iteration 50, path travelled 1571, percent explored 0.736604(+0.067282)
iteration 51, path travelled 1614, percent explored 0.739861(+0.325645)
iteration 52, path travelled 1645, percent explored 0.740184(+0.032295)
iteration 53, path travelled 1790, percent explored 0.745485(+0.530183)
iteration 54, path travelled 1816, percent explored 0.758807(+1.332185)
iteration 55, path travelled 1837, percent explored 0.791506(+3.269909)
iteration 56, path travelled 1863, percent explored 0.825847(+3.434077)
iteration 57, path travelled 1883, percent explored 0.829346(+0.349867)
iteration 58, path travelled 1907, percent explored 0.849773(+2.042684)
iteration 59, path travelled 1924, percent explored 0.862152(+1.237990)
iteration 60, path travelled 1946, percent explored 0.871814(+0.966171)
iteration 61, path travelled 1989, percent explored 0.872379(+0.056517)
iteration 62, path travelled 2061, percent explored 0.890007(+1.762790)
iteration 63, path travelled 2082, percent explored 0.891299(+0.129182)
iteration 64, path travelled 2136, percent explored 0.909492(+1.819307)
iteration 65, path travelled 2143, percent explored 0.914525(+0.503270)
iteration 66, path travelled 2157, percent explored 0.915521(+0.099577)
iteration 67, path travelled 2185, percent explored 0.932906(+1.738569)
iteration 68, path travelled 2197, percent explored 0.937185(+0.427914)
iteration 69, path travelled 2220, percent explored 0.951988(+1.480206)
iteration 70, path travelled 2239, percent explored 0.953602(+0.161477)
iteration 71, path travelled 2286, percent explored 0.953791(+0.018839)
iteration 72, path travelled 2384, percent explored 0.962134(+0.834298)
iteration 73, path travelled 2411, percent explored 0.973437(+1.130339)
iteration 74, path travelled 2419, percent explored 0.973921(+0.048443)
